episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
12678, 	0.100000, 	0.217338, 	-0.076460, 	0.002939, 	1.378072
12679, 	0.100000, 	0.241196, 	-0.098156, 	0.003395, 	1.378535
12680, 	0.100000, 	0.391059, 	-0.086776, 	0.004780, 	1.378724
12681, 	0.100000, 	0.023545, 	-0.010603, 	0.000343, 	1.380561
12682, 	0.390000, 	0.010798, 	-0.013283, 	0.000242, 	1.380245
12683, 	0.000000, 	0.214649, 	-0.016574, 	0.002314, 	1.380277
12684, 	0.400000, 	0.439727, 	-0.012953, 	0.004528, 	1.383507
12685, 	0.000000, 	0.140044, 	-0.039928, 	0.001801, 	1.384348
12686, 	0.100000, 	0.401608, 	-0.080763, 	0.004825, 	1.386759
12687, 	0.900000, 	0.235325, 	-0.062403, 	0.002979, 	1.382175
12688, 	0.900000, 	0.071354, 	-0.026848, 	0.000983, 	1.375124
12689, 	0.100000, 	0.495503, 	-0.068209, 	0.005639, 	1.376093
12690, 	0.500000, 	0.349533, 	-0.037250, 	0.003869, 	1.375068
12691, 	0.000000, 	0.420251, 	-0.057921, 	0.004783, 	1.375579
12692, 	0.400000, 	0.433299, 	-0.119742, 	0.005532, 	1.375464
12693, 	0.100000, 	0.105995, 	-0.228928, 	0.003351, 	1.375398
12694, 	0.100000, 	0.236480, 	-0.108373, 	0.003450, 	1.370281
12695, 	0.000000, 	0.241474, 	-0.028009, 	0.002696, 	1.369429
12696, 	0.100000, 	0.179498, 	-0.041345, 	0.002210, 	1.369613
12697, 	0.300000, 	0.239608, 	-0.066452, 	0.003062, 	1.369512
12698, 	0.100000, 	0.197427, 	-0.054923, 	0.002525, 	1.370008
12699, 	0.800000, 	0.307363, 	-0.062824, 	0.003703, 	1.367565
12700, 	0.700000, 	0.547919, 	-0.090606, 	0.006387, 	1.366350
12701, 	0.200000, 	0.278252, 	-0.086021, 	0.003644, 	1.369617
12702, 	0.100000, 	0.576330, 	-0.098169, 	0.006746, 	1.371389
12703, 	1.500000, 	0.404243, 	-0.137383, 	0.005418, 	1.363033
12704, 	0.100000, 	0.163677, 	-0.032414, 	0.001962, 	1.361747
12705, 	0.100000, 	0.499499, 	-0.138694, 	0.006383, 	1.362635
12706, 	0.100000, 	0.224052, 	-0.059912, 	0.002841, 	1.364267
12707, 	0.100000, 	0.147637, 	0.040361, 	0.001074, 	1.366259
12708, 	0.800000, 	0.302124, 	-0.095504, 	0.003978, 	1.365857
12709, 	0.100000, 	0.054003, 	0.022146, 	0.000320, 	1.366543
12710, 	2.000000, 	0.220590, 	-0.158581, 	0.003793, 	1.355120
12711, 	0.100000, 	0.152992, 	-0.077372, 	0.002305, 	1.354648
12712, 	0.100000, 	0.761784, 	-0.115401, 	0.008773, 	1.355255
12713, 	1.000000, 	0.410980, 	-0.055723, 	0.004668, 	1.357114
12714, 	0.300000, 	0.659470, 	-0.107626, 	0.007672, 	1.351831
12715, 	0.900000, 	0.167189, 	-0.000141, 	0.001675, 	1.344742
12716, 	0.000000, 	0.351737, 	-0.123919, 	0.004758, 	1.345781
12717, 	2.100000, 	0.451004, 	-0.101565, 	0.005527, 	1.346433
12718, 	1.300000, 	1.500946, 	-0.177566, 	0.016786, 	1.345234
12719, 	0.100000, 	0.017498, 	0.011697, 	0.000059, 	1.346209
12720, 	0.090000, 	0.983894, 	-0.125825, 	0.011099, 	1.348329
12721, 	0.390000, 	0.606262, 	-0.124589, 	0.007310, 	1.354247
12722, 	0.300000, 	0.960980, 	-0.158098, 	0.011192, 	1.354777
12723, 	0.400000, 	0.036361, 	-0.014636, 	0.000511, 	1.351241
12724, 	0.000000, 	0.418008, 	-0.090825, 	0.005090, 	1.351419
12725, 	0.000000, 	0.482600, 	-0.037697, 	0.005204, 	1.351635
12726, 	0.200000, 	0.496695, 	-0.092357, 	0.005892, 	1.354138
12727, 	0.000000, 	0.320573, 	-0.025880, 	0.003466, 	1.355603
